date,code,open,high,low,close,volume,amount,turn,pctChg
2026-01-05,sz.159201,1.222,1.225,1.216,1.224,474663125,579833300.904,6.702127,0.7407
2026-01-06,sz.159201,1.223,1.244,1.223,1.244,491826001,607762203.236,6.787293,1.634
2026-01-07,sz.159201,1.242,1.245,1.233,1.237,385641908,477953252.101,5.206961,-0.5627
2026-01-08,sz.159201,1.233,1.24,1.229,1.235,303719054,375181130.63,4.046741,-0.1617
2026-01-09,sz.159201,1.234,1.247,1.233,1.245,321639692,399566808.68,4.262796,0.8097
2026-01-12,sz.159201,1.247,1.251,1.243,1.25,339635135,423610108.044,4.481103,0.4016
2026-01-13,sz.159201,1.25,1.266,1.249,1.258,340272913,428155002.766,4.485375,0.64
2026-01-14,sz.159201,1.258,1.272,1.247,1.254,455941955,575353930.616,6.028366,-0.318
2026-01-15,sz.159201,1.247,1.265,1.246,1.255,363434605,456829151.194,4.760564,0.0797
2026-01-16,sz.159201,1.257,1.268,1.246,1.251,389318500,490050650.8,5.105632,-0.3187
2026-01-19,sz.159201,1.246,1.271,1.246,1.271,345173103,435704376.28,4.468679,1.5987
2026-01-20,sz.159201,1.272,1.282,1.261,1.282,357253000,454420726.1,4.609552,0.8655
2026-01-21,sz.159201,1.281,1.289,1.273,1.286,362377600,464142457.4,4.620233,0.312
2026-01-22,sz.159201,1.289,1.304,1.286,1.303,760725900,988292911.5,9.591469,1.3219
2026-01-23,sz.159201,1.306,1.314,1.304,1.312,563060400,737237085.2,6.664797,0.6907
2026-01-26,sz.159201,1.314,1.331,1.313,1.323,519566538,686400179.095,5.965669,0.8384
2026-01-27,sz.159201,1.32,1.323,1.302,1.31,508105298,666357329.064,5.683329,-0.9826
2026-01-28,sz.159201,1.312,1.35,1.311,1.348,394969829,526740329.703,4.363692,2.9008
2026-01-29,sz.159201,1.349,1.362,1.33,1.362,516111425,693495680.8,5.664535,1.0386
2026-01-30,sz.159201,1.348,1.349,1.304,1.327,640813824,849995859.204,7.020097,-2.5698
2026-02-02,sz.159201,1.298,1.306,1.255,1.258,695184217,890906496.73,7.429344,-5.1997
2026-02-03,sz.159201,1.276,1.296,1.269,1.294,477595700,612035216.9,5.133629,2.8617
2026-02-04,sz.159201,1.295,1.317,1.294,1.317,607063944,793085822.532,6.498031,1.7774
2026-02-05,sz.159201,1.314,1.314,1.288,1.299,559318800,726959939.8,5.792883,-1.3667
2026-02-06,sz.159201,1.272,1.304,1.272,1.295,470139801,607326757.584,4.734885,-0.3079
2026-02-09,sz.159201,1.304,1.314,1.303,1.314,321667800,421243946.2,3.210489,1.4672
2026-02-10,sz.159201,1.314,1.316,1.307,1.315,324834000,426167642.5,3.227915,0.0761
2026-02-11,sz.159201,1.313,1.328,1.311,1.324,402725895,532983863.49,3.975468,0.6844
2026-02-12,sz.159201,1.326,1.335,1.318,1.329,377506366,501106877.248,3.668574,0.3776
2026-02-13,sz.159201,1.32,1.324,1.302,1.305,525264220,688215478.8,5.040306,-1.8059
2026-02-24,sz.159201,1.319,1.345,1.316,1.345,533524155,712085389.769,5.020328,3.0651
2026-02-25,sz.159201,1.347,1.37,1.345,1.354,430703401,584789503.063,4.108089,0.6691
2026-02-26,sz.159201,1.352,1.36,1.347,1.359,382477900,518607851.2,3.607167,0.3693
2026-02-27,sz.159201,1.351,1.368,1.35,1.365,467576600,636449255.9,4.371805,0.4415
2026-03-02,sz.159201,1.375,1.399,1.365,1.398,829712705,1147276018.412,7.642701,2.4176
2026-03-03,sz.159201,1.398,1.406,1.379,1.386,892015303,1241969549.943,7.953574,-0.8584
2026-03-04,sz.159201,1.37,1.378,1.353,1.372,637612783,871507380.812,5.528462,-1.0101
2026-03-05,sz.159201,1.383,1.395,1.375,1.386,482091999,666991830.123,4.235462,1.0204
2026-03-06,sz.159201,1.38,1.392,1.369,1.391,447478500,618606130.929,3.893733,0.3608
2026-03-09,sz.159201,1.397,1.402,1.377,1.391,617248799,858753149.41,5.273703,0.0
2026-03-10,sz.159201,1.381,1.391,1.375,1.389,435231900,602055660.9,3.684573,-0.1438
2026-03-11,sz.159201,1.388,1.403,1.38,1.401,673759905,939278306.821,5.640388,0.8639
2026-03-12,sz.159201,1.404,1.413,1.394,1.407,588816801,825978362.583,4.779638,0.4283
2026-03-13,sz.159201,1.407,1.417,1.389,1.393,749090100,1052032738.1,5.941728,-0.995
2026-03-16,sz.159201,1.39,1.396,1.366,1.373,715491368,987124387.334,5.4931,-1.4358
2026-03-17,sz.159201,1.371,1.384,1.358,1.361,701899101,962209446.659,5.280106,-0.874
2026-03-18,sz.159201,1.359,1.361,1.336,1.353,670650393,904058973.452,5.060261,-0.5878
2026-03-19,sz.159201,1.347,1.351,1.323,1.328,664827102,887329444.467,4.975031,-1.8477
2026-03-20,sz.159201,1.322,1.337,1.313,1.314,599582633,793872379.149,4.520963,-1.0542
2026-03-23,sz.159201,1.298,1.307,1.27,1.275,755130807,972787967.055,5.695543,-2.968
2026-03-24,sz.159201,1.287,1.302,1.272,1.3,716968347,922928697.187,5.456266,1.9608
2026-03-25,sz.159201,1.307,1.318,1.3,1.318,924994461,1213610661.283,7.0127,1.3846
2026-03-26,sz.159201,1.316,1.322,1.301,1.306,492096695,645543951.947,3.579594,-0.9105
2026-03-27,sz.159201,1.294,1.314,1.292,1.312,400273428,522522176.876,2.887502,0.4594
2026-03-30,sz.159201,1.305,1.318,1.3,1.316,333815506,437168202.92,2.391353,0.3049
2026-03-31,sz.159201,1.316,1.327,1.305,1.306,552022551,724637497.855,3.971878,-0.7599
2026-04-01,sz.159201,1.323,1.325,1.308,1.316,612489801,805674410.51,4.328771,0.7657
2026-04-02,sz.159201,1.316,1.317,1.301,1.308,381894405,499785190.145,2.650337,-0.6079
2026-04-03,sz.159201,1.31,1.311,1.289,1.291,359149008,465666150.952,2.49335,-1.2997
2026-04-07,sz.159201,1.291,1.298,1.286,1.298,232992000,301281502.4,1.611256,0.5422
2026-04-08,sz.159201,1.312,1.322,1.3,1.322,766898412,1006562290.629,5.299453,1.849
2026-04-09,sz.159201,1.313,1.32,1.31,1.319,345416727,454759284.361,2.315859,-0.2269
2026-04-10,sz.159201,1.32,1.335,1.32,1.328,366235525,486703052.975,2.441362,0.6823
2026-04-13,sz.159201,1.323,1.324,1.313,1.32,453324000,597433899.0,3.021299,-0.6024
2026-04-14,sz.159201,1.325,1.327,1.309,1.319,564790188,742925946.338,3.717125,-0.0758
2026-04-15,sz.159201,1.319,1.322,1.309,1.311,548349529,721356915.865,3.567597,-0.6065
2026-04-16,sz.159201,1.311,1.324,1.311,1.323,445125945,586270037.02,2.88065,0.9153
2026-04-17,sz.159201,1.321,1.323,1.31,1.312,416470103,547097137.533,2.683567,-0.8314
